Movie Name,Imdb_id,Rating,Release Date,Genres,Cast
OMG: Oh My God!,tt2283748,8.1,2012,"Comedy,Drama,Fantasy","Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar,Govind Namdeo,Om Puri,Lubna Salim,Nikhil Ratnaparkhi,Murli Sharma,Poonam Jhawer,Yusuf Hussain,Jaineeraj Rajpurohit,Nidhi Subbaiah,Apoorva Arora,Azaan Shah,Honey Chhaya,Krunal Pandit"
Veer Zara,tt0420332,7.8,2004,"Drama,Family,Musical","Shah Rukh Khan,Preity G Zinta,Rani Mukerji,Kirron Kher,Divya Dutta,Boman Irani,Anupam Kher,Amitabh Bachchan,Hema Malini,Manoj Bajpayee,Zohra Sehgal,S.M. Zaheer,Tom Alter,Akhilendra Mishra,Arun Bali,Rushad Rana,Balwant Bansal"
Chennai Express,tt2112124,6.1,2013,"Action,Comedy,Drama","Deepika Padukone,Shah Rukh Khan,Sathyaraj,Nikitin Dheer,Mukesh Tiwari,Lekh Tandon,Kamini Kaushal,Puvisha Manoharan,Manu Malik,Rakesh Kukreti,Mohan V. Raman,Yogi Babu,Jasper,Besant Ravi,King Kong,Jimmy Moses,Delhi Ganesh"
Kuch Kuch Hota Hai,tt0172684,7.5,1998,"Comedy,Drama,Musical","Shah Rukh Khan,Kajol,Rani Mukerji,Sana Saeed,Reema Lagoo,Farida Jalal,Archana Puran Singh,Himani Shivpuri,Johny Lever,Anupam Kher,Parzaan Dastur,Salman Khan,Geeta Kapoor,Farah Khan,Nikkhil Advani,Neelam Kothari"
The Lunchbox,tt2350496,7.8,2013,"Drama,Romance","Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,Nakul Vaid,Bharti Achrekar,Yashvi Puneet Nagar,Denzil Smith,Shruti Bapna,Nasir Khan,Lokesh Raj,Sadashiv Kondaji Pokarkar,Aarti Rathod,Krishna Bai,Raj Rishi More,Santosh Kumar Chaurasiya,Avijit Khanwilkar"
Jab We Met,tt1093370,7.9,2007,"Comedy,Drama,Romance","Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh Randhawa,Pawan Malhotra,Kamal Tiwari,Kiran Juneja,Divya Seth Shah,Saumya Tandon,Nihar Thakkar,Manushka Khisty,F.J. Jussawala,Vishal Om Prakash,Rohini Sahni,Deepak Sharma,Sheikh Noor Islam,Basant Sinha"
Sanju,tt6452574,7.6,2018,"Biography,Comedy,Drama","Ranbir Kapoor,Paresh Rawal,Manisha Koirala,Vicky Kaushal,Dia Mirza,Anushka Sharma,Sonam Kapoor,Jim Sarbh,Karishma Tanna,Boman Irani,Ashnoor Kaur,Siya,Tabu,Sayaji Shinde,Steven Allen,Prakash Belawadi,Mahru Sheikh"
Kabhi Khushi Kabhie Gham...,tt0248126,7.4,2001,"Drama,Musical,Romance","Shah Rukh Khan,Kajol,Amitabh Bachchan,Hrithik Roshan,Jaya Bachchan,Kareena Kapoor,Farida Jalal,Jibraan Khan,Rani Mukerji,Alok Nath,Amar Talwar,Johny Lever,Achala Sachdev,Himani Shivpuri,Aryan Khan,Sushma Seth,Ramona Sunavala"
Dhoom:3,tt1833673,5.4,2013,"Action,Crime,Drama","Aamir Khan,Katrina Kaif,Abhishek Bachchan,Uday Chopra,Jackie Shroff,Tabrett Bethell,Andrew Bicknell,Siddharth Nigam,Charles Rasmussen,Gavin Marshall,Girisha Nichani,Kapish Chawla,Kanishka Soni,Kavya Nayak,Adit Singh,Parth Suri,Richard"
A Match Made in Heaven,tt1182937,7.2,2008,"Comedy,Drama,Music","Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina,Manmeet Singh Sawhney,Kajol,Rani Mukerji,Preity G Zinta,Bipasha Basu,Lara Dutta,Bobby Bedi,Vivan Bhatena,Puneet Cheema,Alene D'Souza,Aneesha Dalal,Areesz Ganddi,Rajesh Jais"
Così fan tutte,tt0104014,5.2,1992,"Comedy,Drama","Claudia Koll,Paolo Lanza,Franco Branciaroli,Isabella Deiana,Renzo Rinaldi,Ornella Marcucci,Marco Marciani,Maurizio Martinoli,Luciana Cirenei,Rossana Di Pierro,Rosa Maria Pezzullo,Osiride Pevarello,Antonio Conte,Lucia Lucchesino,Pierangela Vallerino,Jean René Lemoine,Andrea Berardicurti"
The Official 3D 2010 FIFA World Cup Film,tt1800395,6.8,IMDbPro,"Documentary,Sport",
Lage Raho Munna Bhai,tt0456144,8.0,2006,"Comedy,Drama,Romance","Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,Dilip Prabhavalkar,Dia Mirza,Jimmy Shergill,Kulbhushan Kharbanda,Parikshit Sahni,Saurabh Shukla,Supriya Shukla,Achyut Potdar,Atmaram Bhende,Arun Bali,Bomie E. Dotiwala,Abhishek Bachchan,Uday Sabnis"
Vishwaroopam,tt2199711,7.9,2013,"Action,Thriller","Pooja Kumar,Miles Anderson,Kamal Haasan,Rahul Bose,Shekhar Kapur,Andrea Jeremiah,Jaideep Ahlawat,Nassar,Zarina Wahab,Samrat Chakrabarti,James Babson,Jude S. Walko,Chris Kotcher,Greg Sammis,David Scott Diaz,Melissa Bayer,Hayat Asif"
Raees,tt3405236,6.6,2017,"Action,Crime,Drama","Shah Rukh Khan,Jaideep Ahlawat,Nawazuddin Siddiqui,Sunny Leone,Mahira Khan,Atul Kulkarni,Sheeba Chaddha,Mohd. Zeeshan Ayyub,Pawan Singh,Saharsh Kumar Shukla,Anurag Arora,Suparna Marwah,Pramod Pathak,Anil Charanjeett,Shahnawaz Pradhan,Menaka,Bachan Pachehra"
Talaash,tt1787988,7.2,2012,"Crime,Drama,Mystery","Aamir Khan,Kareena Kapoor,Rani Mukerji,Nawazuddin Siddiqui,Rajkummar Rao,Suhaas Ahuja,Vivan Bhatena,Pariva Pranati,Jineet Rath,Sheeba Chaddha,Shernaz Patel,Subrat Dutta,Aditi Vasudev,Gulfam Khan,Prashant Prakash,Shivani Tanksale,Ashish Nayyar"
Vicky Donor,tt2317337,7.8,2012,"Comedy,Romance","Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,John Abraham,Backagaindancer,Tarun Bali,Siddharth Bhardwaj,Krishna Singh Bisht,Jayanta Das,Aaditrie Dipika,Swaroopa Ghosh,Kamlesh Gill,Nitanshi Goel,Puja Gupta,Shiva Kumar,Vijay Meenu"
Ra.One,tt1562871,4.8,2011,"Action,Adventure,Sci-Fi","Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Shahana Goswami,Atul Sharma,Priyanka Chopra Jonas,Satish Shah,Armaan Verma,Dalip Tahil,Suresh Menon,Sanjay Dutt,Rajinikanth,Joe Egan,Ben Hawkey,Alex Moore,Mark Barrows,Paul Lowe"
Ohm Shanti Ohm,tt1024943,6.7,2007,"Action,Comedy,Drama","Shah Rukh Khan,Deepika Padukone,Arjun Rampal,Kirron Kher,Shreyas Talpade,Bindu Desai,Jawed Sheikh,Satish Shah,Yuvika Chaudhary,Shawar Ali,Asawari Joshi,Nassar Abdulla,Lin Laishram,Masood Akhtar,Sev Anand,Amrita Arora,Malaika Arora"
Uri: The Surgical Strike,tt8291224,8.2,2019,"Action,Drama,History","Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,Kirti Kulhari,Rajit Kapoor,Ivan Rodrigues,Manasi Parekh,Swaroop Sampat,Riva Arora,Yogesh Soman,Fareed Ahmed,Akashdeep Arora,Kallol Banerjee,Amaan Asif,Padam Bhola,Guru Bhullar"
This Youth Is Crazy,tt2178470,7.2,2013,"Comedy,Drama,Musical","Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor,Kalki Koechlin,Kunaal Roy Kapur,Madhuri Dixit,Farooq Shaikh,Aanoushka,Kamal Adib,Dolly Ahluwalia,Vinita Amar,Anisha,Tanvi Azmi,Priyanka Bose,Anisa Butt,Rana Daggubati,Mokshad Dodwani"
Julian Rosefeldt - Interview für Kino der Kunst 2017: Über seine Ausstellung und seinen Film Manifesto,tt21078564,N/A,Cast & crew,"Documentary,Short,Talk-Show",Julian Rosefeldt
Barack Obama DNC 2016 Film,tt13659462,N/A,IMDbPro,Short,
Dear Zindagi,tt5946128,7.4,2016,"Drama,Romance","Alia Bhatt,Shah Rukh Khan,Kunal Kapoor,Priyanka Moodley,Prateek Jain,Aditya Roy Kapoor,Ali Zafar,Bobby Duggal,Angad Bedi,Darwin,Raj Bhansali,Sharic Sequeira,Dilip,Akanksha Gade,Ira Dubey,Richard Klein,Yashaswini Dayama"
Lugdunum (Journal du Festival Doc en Courts 2005) (Carnet Filmé: 6 octobre 2005 au 8 octobre 2005),tt12460948,N/A,IMDbPro,Documentary,"Armand Bahadourian,Gilles Chétanian,Gérard Courant,Angèle Diabang Brener,Jacques Gerstenkorn,Mika Gianotti,Elisabeth Moulinier,Valérie Mouroux,Daniel Pelligra"
Happy New Year,tt2461132,4.9,2014,"Action,Comedy,Crime","Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan,Boman Irani,Sonu Sood,Vivaan Shah,Jackie Shroff,Anupam Kher,Mohan Kapur,Varun Pruthi,Kavi Shastri,Daisy Irani,Sarah Jane Dias,Dino Morea,Malaika Arora,Kiku Sharda,Prabhu Deva"
BACK 2009 (silent film),tt14215830,N/A,IMDbPro,"Short,Mystery",
English Vinglish,tt2181931,7.8,2012,"Comedy,Drama,Family","Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,Sujata Kumar,Sulabha Deshpande,Michael Patrick Hoban,Navika Kotia,Shivansh Kotia,Ashvin Matthew,Cory Hibbs,Rajeev Ravindranathan,Maria Romano,Sumeet Vyas,Ruth Aguilar,Ross Nathan,Damian Thompson"
Race 3,tt7431594,1.9,2018,"Action,Crime,Thriller","Anil Kapoor,Salman Khan,Bobby Deol,Jacqueline Fernandez,Daisy Shah,Saqib Saleem,Freddy Daruwala,Naushaad Abbas,Najmeddin AlHadad,Kabir Ali,Shiv Aryan,Rajesh Babu,Krishna Banshak,Abhijit Baruah,Govind Bhana,Rajesh Bhati,Divya Bhatia"
Paan Singh Tomar,tt1620933,8.2,2012,"Action,Biography,Crime","Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,Navneet Gairola,Mahesh Ginnilaal,Rajendra Gupta,Rajiv Gupta,Jhakkad Guru,Ashraf Ul Haq,Imran Hasnee,Zakir Hussain,Brijendra Kala,Vijay Kaushik,Jahangir Khan,Swapnil kiiran Kotriwar,Sandeepan Nagar"
Main Hoon Na,tt0347473,7.0,2004,"Action,Comedy,Drama","Shah Rukh Khan,Sushmita Sen,Suniel Shetty,Zayed Khan,Amrita Rao,Kabir Bedi,Naseeruddin Shah,Boman Irani,Bindu Desai,Satish Shah,Kirron Kher,Nassar Abdulla,Kunal Kumar,Rajiv Panjabi,Rakhi Sawant,Murli Sharma,Praveen Sirohi"
Dilwale,tt4535650,5.0,2015,"Action,Comedy,Drama","Shah Rukh Khan,Kajol,Varun Dhawan,Kriti Sanon,Varun Sharma,Boman Irani,Johny Lever,Mukesh Tiwari,Pankaj Tripathi,Sanjay Mishra,Chetna Pande,Vinod Khanna,Kabir Bedi,Murli Sharma,Ahmad Shaikh,Mitansh Lulla,Stuti Dixit"
M.S. Dhoni: The Untold Stor,tt4169250,8.0,2016,"Biography,Drama,Sport","Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,Bhoomika Chawla,Sanjay Dadhich,Kaliprasad Mukherjee,Zeeshaan,Mithu Chakraborty,Kranti Prakash Jha,Ashrut Jain,Brijendra Kala,Mukesh S. Bhatt,Jitin Gulati,Sahil Gyan,Sushil Kumar Dutta,Sarvadaman Banerjee"
The Fifa 2006 World Cup Film: The Grand Finale,tt0883377,6.7,2006,Documentary,"Pierce Brosnan,Fabio Cannavaro"
Bajirao Mastani,tt3735246,7.2,2015,"Action,Drama,History","Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,Tanvi Azmi,Mahesh Manjrekar,Raza Murad,Aditya Pancholi,Milind Soman,Vaibhav Tatwawadi,Yatin Karyekar,Benjamin Gilani,Zila Khan,Ganesh Yadav,Sukhada Khandkekar,Anuja Sathe,Swarali Marathe,Snehlata Vasaikar"
Jodhaa Akbar,tt0449994,7.5,2008,"Action,Drama,History","Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood,Poonam Sinha,Suhasini Mulay,Ila Arun,Raza Murad,Kulbhushan Kharbanda,Surendra Pal,Rajesh Vivek,Pramod Moutho,V.M. Badola,Manava Naik,Disha Vakani,Dilnaz Irani,Yuri Suri,Shaji Chaudhary"
