Movie Name,IMDb ID
Phir Bhi Dil Hai Hindustani,tt0222270
Amar Akbar Anthony,tt0075669
Chillar Party,tt1841542
Love per Square Foot,tt7853242
Rehnaa Hai Terre Dil Mein,tt0299108
Salaam Namaste,tt0456165
Ishaqzaade,tt2308773
Once Upon ay Time in Mumbai Dobaara!,tt1395054
Baaghi (2016 film),null
Ek Main Aur Ekk Tu,tt1703958
Hum Tumhare Hain Sanam,tt0222024
Manorama Six Feet Under,tt0920464
Ek Hasina Thi,tt0352314
Hum Saath-Saath Hain,tt0216817
Viceroy's House,tt4977530
Mission Kashmir,tt0248185
Dishoom,tt3679060
Murder 2,tt15255288
Finding Fanny,tt3142688
Awarapan,tt1020937
Sui Dhaaga,tt7147540
Ship of Theseus,tt1773764
No Smoking (2007 film),tt1095480
Matru Ki Bijlee Ka Mandola,tt2106537
Hulchul (2004 film),null
Bunty Aur Babli,tt0448206
Manmarziyaan,tt5474036
Shuddh Desi Romance,tt2988272
Anjaana Anjaani,tt1499201
Deewana (1992 film),null
Saajan,tt0102825
Dasvidaniya,tt1288638
Baar Baar Dekho,tt5197544
Lipstick Under My Burkha,tt4807830
Half Girlfriend,tt5474042
Batla House,tt8869978
Mr. and Mrs. Khiladi,tt0162480
The Accidental Prime Minister,tt6986710
Anjaam,tt0109134
The Tashkent Files,tt8108268
Padosan,tt0063404
Satyameva Jayate (2018 film),tt8202612
Mukkabaaz,tt7180544
Grand Masti,tt2476154
Masti (2004 film),tt12460506
Stanley Ka Dabba,tt1907761
Fire (1996 film),tt0115578
De De Pyaar De,tt8647400
Khiladiyon Ka Khiladi,tt0246729
Bluffmaster!,tt0476527
Mumbai Meri Jaan,tt1266583
Chamatkar,tt0126234
Dor,nm0233312
Kis Kisko Pyaar Karoon,tt4302956
Main Khiladi Tu Anari,tt0110438
Hunterrr,tt4333674
Jannat,tt18954030
Welcome Back,tt0072582
Bombay Velvet,tt2979920
Daawat-e-Ishq,tt3398052
All the Best: Fun Begins,tt1433905
Action Replayy,tt1396208
7 Khoon Maaf,tt1629376
Mausam (2011 film),null
Salaam-e-Ishq: A Tribute to Love,tt0485272
Hum Hain Rahi Pyar Ke,tt0107166
Bhavesh Joshi Superhero,tt6129302
Gangster (2006 film),tt0892101
Love Sex Aur Dhokha,tt1608777
Kismat Konnection,tt1105733
Malamaal Weekly,tt0476805
Azhar,nm4570964
Aligarh,tt5121000
Ki & Ka,nm3609366
Sangharsh (1999 film),null
Total Dhamaal,tt7639372
Naam Shabana,tt6170954
Hamari Adhuri Kahani,tt3483612
Pyaasa,tt0050870
ABCD 2,tt3679000
Thank You (2011 film),tt8544416
Joker (2012 film),tt2302855
Qarib Qarib Singlle,tt7399470
Ghayal: Once Again,tt4683366
Chashme Baddoor (2013 film),tt2229848
Ferrari Ki Sawaari,tt2122340
Judwaa,tt0119428
Phas Gaye Re Obama,tt1773015
Taal,tt0152836
Happy Bhag Jayegi,tt5472758
Aarakshan,tt1848771
Satyagraha,tt2275802
Mujhse Dosti Karoge!,tt0272736
Cheeni Kum,tt0976026
Tashan,tt0995752
Bombay Talkies,tt2797242
Housefull 4,tt7721946
Do Dooni Chaar,tt1714832
Dil (1990 film),tt0099697
Nil Battey Sannata,tt5005684
One 2 Ka 4,tt0227194
PM Narendra Modi,tt9558612
Bhoothnath Returns,tt3531852
Mann,nm0000520
Ghanchakkar,tt2246724
Kaal (2005 film),tt11973002
Hazaaron Khwaishein Aisi,tt0411469
A Gentleman,tt8230448
Shaandaar,tt4007558
Kurbaan (2009 film),null
Angoor (1982 film),null
Ek Chalis Ki Last Local,tt0995718
Force 2,tt20256448
Shakti: The Power,tt3253182
Biwi No.1,tt0207341
Parched,tt3043252
Mera Naam Joker,tt0066070
Akele Hum Akele Tum,tt0112313
Kaante,tt0294662
Mere Dad Ki Maruti,tt2323964
Dhol,tt0995035
Maine Pyaar Kyun Kiya?,tt0451803
Blue (2009 film),tt1337117
Gupt: The Hidden Truth,tt0119239
Batti Gul Meter Chalu,tt7720922
Yeh Dillagi,tt0111793
CityLights (2014 film),null
Sabse Bada Khiladi,tt0114317
Deewane Huye Paagal,tt0444781
Fukrey Returns,tt6712014
Dream Girl (2019 film),tt1857603
Bandit Queen,tt0109206
Tumhari Sulu,tt6791730
Fitoor,tt14155890
Mard Ko Dard Nahi Hota,tt12458782
Phata Poster Nikhla Hero,tt2615584
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,null
Rahasya,tt3337550
Commando: A One Man Army,tt2658126
Main Prem Ki Diwani Hoon,tt0265148
Chori Chori Chupke Chupke,tt15374748
London Dreams,tt0486615
Kyaa Kool Hain Hum 3,tt5290620
Raavan,tt15760296
Nautanki Saala!,tt2341766
36 China Town,tt0477252
Baazaar,tt6514196
Apaharan,tt0451631
Ta Ra Rum Pum,tt0833553
Tere Naal Love Ho Gaya,tt2130242
Mela (2000 film),tt1746536
Sarbjit,tt5120640
Har Dil Jo Pyar Karega,tt0250415
Heroine (2012 film),tt2250970
Pyaar Kiya To Darna Kya (1998 film),tt0173080
Laal Rang,tt5600714
Yamla Pagla Deewana,tt1773109
Break Ke Baad,tt1578261
Saheb Biwi Aur Gangster,tt2073070
Humko Deewana Kar Gaye,tt0444840
Mujhse Fraaandship Karoge,tt2057441
Yuvvraaj,tt1105747
Titli (2014 film),tt12788356
Aurangzeb,tt2804026
Teri Meri Kahaani,tt2354407
Raja Natwarlal,tt3483712
Dum Maaro Dum,tt1618430
Ishq Vishk,tt0362771
Kill Dil,tt3380264
Raincoat,tt0405266
Ek Thi Daayan,tt2406676
Dil Hai Ke Manta Nahin,tt0101733
Players (2012 film),tt17710468
Shaadi Ke Side Effects,tt3302962
Ghayal (1990 film),null
Fiza,tt0248012
Saheb Biwi Aur Gangster Returns,tt2362778
Aiyaary,tt6774212
Dil Bole Hadippa!,tt1202540
Bullett Raja,tt2551378
Kyaa Super Kool Hain Hum,tt2027138
Hello Brother (1999 film),tt0233856
Bewakoofiyaan,tt3483646
Ram Jaane,tt0114231
Murder (2004 film),tt12492524
Rangoon (2017 Hindi film),null
Dil Toh Baccha Hai Ji,tt1727496
Zanjeer (1973 film),null
Court,tt24249946
Ok Jaanu,tt5764024
God Tussi Great Ho,tt0476550
Kyon Ki,tt0451787
Jattu Engineer,tt6642396
Judgementall Hai Kya,tt8108196
Meri Pyaari Bindu,tt5472374
Chhoti Si Baat,tt0072777
Gori Tere Pyaar Mein,tt2275794
Hate Story,tt2309987
Shor in the City,tt1916728
Bawarchi,tt0068257
B.A. Pass,tt2408040
Ungli,tt2392447
Masoom (1983 film),tt18757604
I Am Kalam,tt1805263
Awaara,tt0043306
Phillauri,tt5502766
A Flying Jatt,tt5235880
Filmistaan,tt2417560
Haraamkhor,tt2361746
Happy Ending,tt21087084
Garv: Pride & Honour,tt0415003
